Complexity,Loss,Equation
1,0.29272968,"0.52210355"
3,0.28866532,"x5 * 0.00515476"
5,0.28402472,"x2 * (x1 * 0.020912504)"
7,0.28333446,"((x2 * x1) * 0.026134783) - 0.17692858"
9,0.28084618,"((x2 * (x1 * x2)) * 0.0025858548) - -0.00071241666"
11,0.28068817,"(x2 / -0.4883053) * (((x1 * -0.0014259525) * x2) - -0.005118825)"
13,0.27911395,"(x2 * ((x2 * ((x1 / x0) * 0.001261694)) * x1)) - -0.1313067"
15,0.2768198,"((x1 * (x2 + (x2 * (x1 / x0)))) * (x2 * 0.0009961716)) - -0.05445346"
17,0.275742,"((((x2 + (x2 * (x1 / x0))) * x1) * (x2 * -0.003908619)) - x11) * -0.26177496"
19,0.2749381,"(((x1 * (x1 * (x2 + -0.19462126))) / x0) * (x2 * 0.0014647915)) - ((x0 * -0.103785485) - -0.31157273)"
21,0.27444267,"(((x2 * ((((x1 * x1) / x0) * x2) * 0.030402115)) + x0) * (0.03836921 - (x0 * -0.0037453505))) - 0.15075308"
23,0.27414906,"(((x11 + x0) + (((x1 / x0) * ((x2 * x2) * 0.029697722)) * x1)) * (0.03966386 - (x0 * -0.003786494))) - 0.16544722"
25,0.27381656,"(((x11 + x0) + (((x1 / x0) * x2) * (x2 * (0.029702056 * x1)))) * (0.040969655 - (-0.003542291 * (x0 + x11)))) - 0.18245101"
