Complexity,Loss,Equation
1,1.0448171,"0.4882628"
3,1.0113531,"x2 / x8"
5,1.0073609,"x10 / (x8 + -1.7057059)"
7,1.0042489,"((x10 + -0.9017535) / 0.5611454) / x8"
9,1.0009911,"(((x10 + -2.4852295) / 0.48899192) / x8) - -0.26455763"
11,0.9886225,"(x10 / (((-0.1416165 / x0) * x1) + 0.75715834)) / x8"
13,0.98290884,"((x10 / (((x1 * -0.12462188) / x0) + 0.670651)) + -1.8071823) / x8"
15,0.9789987,"((x10 / ((x1 * ((-0.1210105 / x0) + x11)) + 0.6525844)) + -1.8242819) / x8"
17,0.9789986,"(((x10 / ((x1 * ((-0.1210105 / x0) + x11)) + 0.6525844)) + -1.8242819) / x8) - -0.0017860396"
19,0.97244054,"((x10 / (((x1 / x0) * -0.12524642) + 0.68439895)) + -1.8072966) / (x8 - ((x5 - x9) * 0.040510517))"
21,0.97069716,"((x10 / (((-0.12524948 / x0) * x1) + (x11 + 0.6843994))) + -1.8072969) / (x8 - ((x5 - x9) * 0.040514693))"
23,0.9681997,"(x11 * 0.24748555) + (((x10 / (((x1 / x0) * -0.1253155) + 0.6844027)) + -1.8072968) / (x8 - ((x5 - x9) * 0.040607862)))"
