Complexity,Loss,Equation
1,0.15355258,"0.2931065"
3,0.14976172,"x10 / x8"
5,0.14930223,"(x10 / x8) * 1.2362478"
7,0.1477902,"((x0 * x10) * 0.24745929) / x8"
9,0.14720628,"((x0 * x10) / x8) * (0.25223514 - x11)"
11,0.14654197,"(x10 * x0) * (0.2621902 / (x8 + (x11 / 0.00018604952)))"
13,0.14612116,"((x10 / (x8 + (x11 * x6))) * x0) * (x0 * 0.055000696)"
15,0.14369431,"((x10 * (x0 * 0.22674215)) / x8) + (0.513826 / (x3 + (x0 - 1.8460318)))"
17,0.14326006,"(1.3220282 / ((x3 + x0) - 1.625286)) + ((x0 * (x10 * (0.24452797 / x8))) - 0.18418601)"
19,0.14301494,"((1.3259344 / ((x3 + x0) - 1.6232463)) + (x10 * ((0.24828331 / x8) * x0))) - (x11 + 0.17812236)"
23,0.14260703,"((1.5092891 / (((x3 / (x5 * 0.021745706)) + x0) - 0.95891523)) + (((x0 * (x0 * 0.30281416)) / x8) - 0.35244173)) - x11"
