Complexity,Loss,Equation
1,0.14558963,"0.4753279"
3,0.14049885,"x2 / x8"
5,0.1401703,"(x10 * 1.548012) / x8"
7,0.13881393,"x6 / (x8 / (x10 * 0.004115172))"
9,0.13856591,"(x6 / (x8 / 0.004182773)) * (x10 + x11)"
11,0.13805404,"(x6 / (x8 / (x10 * 0.004182773))) + (x11 * 0.30129987)"
13,0.1380396,"(x6 / (x8 / (x10 * 0.004132566))) + ((x11 + 0.02478464) * 0.3013243)"
15,0.13569334,"(x10 / x8) - ((x8 * x6) * (-0.005819434 / ((x9 * x3) * x0)))"
17,0.1347674,"((x10 * 1.3721383) / x8) - ((x6 * (x8 * -0.005819434)) / (x9 * (x3 * x0)))"
19,0.13436456,"((x10 * (1.3721383 / x8)) - (x8 * (x6 * (-0.005819434 / (x9 * (x3 * x0)))))) + -0.103714444"
21,0.13387056,"((x10 * (-0.21873361 / x8)) * (-33.15934 / x8)) - ((x8 * x6) * (-0.006506726 / ((x3 * x0) * x9)))"
23,0.13376495,"((((x10 - 0.31580114) * (-0.25016865 / x8)) * -30.311073) / x8) - (x8 * ((x6 * -0.006515265) / ((x0 * x3) * x9)))"
