iter	Passed	Remaining
0	1	352
1	2	338
2	2	316
3	3	290
4	4	286
5	5	297
6	6	298
7	7	287
8	8	282
9	8	275
10	9	269
11	10	262
12	10	258
13	11	258
14	12	258
15	13	258
16	14	256
17	15	253
18	15	251
19	16	250
20	17	251
21	18	250
22	19	248
23	19	246
24	20	243
25	21	242
26	22	241
27	23	242
28	24	242
29	24	239
30	25	238
31	26	236
32	27	235
33	28	236
34	28	236
35	29	235
36	30	234
37	31	232
38	32	231
39	32	229
40	33	229
41	34	228
42	35	226
43	36	226
44	36	223
45	37	223
46	38	221
47	38	220
48	39	219
49	40	220
50	41	219
51	42	218
52	42	216
53	43	215
54	44	214
55	45	213
56	46	213
57	46	212
58	47	210
59	48	209
60	49	208
61	49	206
62	50	206
63	51	205
64	52	204
65	52	203
66	53	202
67	54	202
68	55	202
69	56	201
70	57	201
71	58	200
72	58	199
73	59	198
74	60	197
75	61	197
76	62	196
77	63	195
78	63	194
79	64	193
80	65	192
81	65	191
82	66	190
83	67	189
84	68	188
85	68	187
86	69	186
87	70	185
88	70	184
89	71	183
90	72	183
91	73	182
92	74	181
93	75	180
94	75	179
95	76	178
96	77	177
97	78	176
98	79	176
99	79	175
100	80	174
101	81	173
102	81	172
103	82	171
104	83	171
105	84	170
106	85	170
107	86	169
108	87	168
109	87	167
110	88	167
111	90	167
112	90	166
113	91	165
114	92	164
115	93	164
116	94	163
117	95	162
118	96	162
119	96	161
120	97	160
121	98	159
122	98	158
123	99	157
124	100	157
125	101	156
126	102	155
127	103	155
128	104	154
129	104	153
130	105	152
131	106	151
132	107	151
133	108	150
134	108	149
135	109	148
136	110	147
137	111	146
138	111	145
139	112	145
140	113	144
141	114	143
142	115	142
143	116	141
144	116	141
145	117	140
146	118	139
147	119	138
148	120	137
149	120	136
150	121	136
151	122	135
152	123	134
153	124	133
154	125	133
155	125	132
156	126	131
157	127	130
158	128	129
159	129	129
160	130	128
161	131	127
162	131	127
163	132	126
164	133	125
165	135	125
